LLM,Benchmark prompt,Execution time,Package,DRAM,HumanEval pass@1
llama-2-7b.Q2_K,HumanEval/38,45.37326765060425,1538042144.0,87791462.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/39,65.53123545646667,2524417427.0,150406720.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/40,70.16706871986389,2434628655.0,148497789.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/41,15.89639925956726,632277190.0,17719437.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/42,21.29531455039978,728996913.0,35596711.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/43,23.380401611328125,887546800.0,34014134.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/44,44.7597074508667,1731411766.0,98039483.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/45,37.60670590400696,1327632893.0,87642109.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/46,44.23692059516907,1701809059.0,86848288.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/47,44.59040713310242,1652938396.0,100974412.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/48,18.12476420402527,720436877.0,33962193.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/49,76.23309087753296,2844431073.0,175360635.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/50,14.034523487091064,544836313.0,20750435.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/51,55.620920181274414,1881625127.0,117428350.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/52,10.335066795349121,430775203.0,13880091.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/53,38.02834701538086,1462898354.0,88938981.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/54,40.147096157073975,1362239128.0,75117300.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/55,62.734358072280884,2442903720.0,150016279.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/56,39.373183488845825,1334265567.0,83368744.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/57,30.664506196975708,1249436437.0,65188310.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/58,47.05977916717529,1777714077.0,99830066.0,0.042682926829268296
