LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),HumanEval pass@1
llama-2-7b.Q2_K,HumanEval/65,39.84241962432861,896.445295214653,230.83269122942787,-247.4211979368,22.5,5.794223785400391,30.017812133993157,5.3537574748023716e-05,1.3437330175432558e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/66,14.248453378677368,320.5845201015472,73.0597667614602,-271.88121750479996,22.5,5.794223785400391,21.561779599086822,7.409046008923167e-06,5.199894902285122e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/67,49.20619988441467,1107.1213442087171,265.98546038168575,-133.7691070152,22.5,5.794223785400391,27.369593492278593,7.541128907415026e-05,1.5325566544722277e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/68,43.14362406730652,970.7189458608627,240.46267424075634,-275.0292200232,22.5,5.794223785400391,28.869262481358525,5.696305324843831e-05,1.3203122009308419e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/69,28.927326679229736,650.8568251132966,157.9467689746134,106.06808485439997,22.5,5.794223785400391,25.632474199499516,5.5668162746486057e-05,1.9244143561477684e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/70,75.99052691459656,1709.762211441994,421.2175476857356,-340.185272148,22.5,5.794223785400391,11.413821727004782,0.00010896636243232515,1.4339466622568511e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/71,28.050803661346436,631.1352610588074,152.92189298827546,110.66508853199994,22.5,5.794223785400391,27.75574395170423,5.4442108723243284e-05,1.940839534599989e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/72,49.59005308151245,1115.7581055164335,268.0772114395823,-265.19921215920004,22.5,5.794223785400391,27.724552099723553,6.806683185112692e-05,1.3725904212936353e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/73,47.87435030937195,1077.156177163124,258.1644164795798,-256.6842053472,22.5,5.794223785400391,26.92248540398716,6.56329268792486e-05,1.3709413591018532e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/74,28.437928676605225,639.8453700542449,155.19261097164963,69.71005576799996,22.5,5.794223785400391,26.380422026288446,5.2618236584392495e-05,1.8502837243445043e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/75,15.418422222137451,346.9117319583893,79.93418545311215,-336.44626915679993,22.5,5.794223785400391,24.38753790268427,5.500642819204757e-06,3.567578277436876e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/76,15.502853870391846,348.8096308708191,80.27748836074261,-206.1171648936,22.5,5.794223785400391,14.876648813773972,1.3567288168775979e-05,8.751477813183474e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/77,35.5991735458374,800.9676718711853,196.6046374810776,130.3431042744,22.5,5.794223785400391,3.4342622110351635,6.86314597503226e-05,1.927894749071995e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/78,56.21460294723511,1264.8107564449308,306.37125697117517,-94.48207558560004,22.5,5.794223785400391,27.725765864991203,8.985431985599606e-05,1.5984159834827314e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/79,28.070661783218384,631.5813338756561,152.9761425534125,-15.572012457600016,22.5,5.794223785400391,27.16190518250546,4.679127023315059e-05,1.6669101211259661e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/80,29.58670997619629,665.691334605217,161.94930520590788,-22.525018019999955,22.5,5.794223785400391,24.251881849363503,4.898972008339202e-05,1.6558015447748748e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/81,60.39781212806702,1358.9278775453565,330.7099175327194,-21.027016821599997,22.5,5.794223785400391,3.2127937616013833,0.00010153172133594886,1.6810496565779873e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/82,18.752442359924316,421.92227661609655,99.17421161778111,-286.47522918000004,22.5,5.794223785400391,27.979143356363434,1.4276247405424733e-05,7.613006952062084e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/83,28.837884664535522,648.845511674881,167.07640715533674,68.87105509680006,22.5,5.794223785400391,20.364034423244664,5.383793203267639e-05,1.866916823441132e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/84,40.81537961959839,918.3321475982667,217.3962067344692,-366.56629325280005,22.5,5.794223785400391,34.360997644157635,4.680201582381755e-05,1.1466759897865692e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/85,18.673463106155396,420.1442295312882,98.66166028965745,-145.2231161784,22.5,5.794223785400391,27.95646580852018,2.2731785365200153e-05,1.2173309918987122e-06,0.042682926829268296
